study_name,author,year,country,raw_data_sent_from_author,subsample,n,source,languaage,infant_age_months,adult_age_years,measures_used,infant_coding,adult_coding,continuity_level,parent_risk,risk_type_parent,child_risk,risk_type_child,sample_type,prior_meta_inclusion,sis_s_to_s,sis_is_to_is,sis_s_to_is,sis_is_to_s,sis_pearsons_r_reported,odo_o_to_o,odo_d_to_d,odo_o_to_d,odo_d_to_o,odo_pearsons_r_reported,3way_a_to_a,3way_b_to_b,3way_c_to_c,3way_a_to_b,3way_a_to_c,3way_b_to_a,3way_b_to_c,3way_c_to_b,3way_c_to_a,3way_cohens_k_reported,4way_a_to_a,4way_b_to_b,4way_c_to_c,4way_d_to_d,4way_a_to_b,4way_a_to_c,4way_a_to_d,4way_b_to_a,4way_b_to_c,4way_b_to_d,4way_c_to_b,4way_c_to_a,4way_c_to_d,4way_d_to_b,4way_d_to_a,4way_d_to_c,4way_cohens_k_reported
Berkeley Longitudinal Study,Main*,2001,USA,NO,Mother,159,Unpublished data,English,12,19,SSP-AAI,"Ainsworth et al. (1978); Main & Solomon, (1990)","Main & Goldwyn,1984",4-way,No,none,No,none,Community,"Fraley, Pinquart",,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bielefeld Project,Zimmerman,1997,Germany,NO,Mother,43,Chapter,English,12,16,SSP-AAI,Ainsworth et al. (1978),"Kobak, 1994",2-way,No,None,No,None,Community,Fraley,5,14,8,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bielefeld Project,Zimmerman,1997,Germany,NO,Father,42,Chapter,English,18,16,SSP-AAI,Ainsworth et al. (1978),"Kobak, 1994",2-way,No,None,No,None,Community,Pinquart,9,12,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evolution of Character Study,Bahadur,1998,USA,NO,Mother,54,Dissertation,English,12,30,AQS-AAI,Waters (1994),"Main & Goldwyn, 1998",2-way,No,None,No,None,Community,Pinquart,13,14,11,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Lifestyles Project,Hamilton,2000,USA,NO,NR,30,Article,English,12,17.5,SSP-AAI,Ainsworth et al. (1978),"Main & Goldwyn,1984",3-way,Yes,Nonconventional family lifestyles,No,None,Risk,"Fraley, Pinquart",7,16,5,2,,,,,,,8,7,4,1,3,4,1,1,1,,,,,,,,,,,,,,,,,,
Haifa Longitudinal Study,Sagi-Schwartz*^,2005,Israel,YES,Mother,66,Unpublished data,English,12.5,17.5,SSP-AAI,Ainsworth et al. (1978),"George, Kaplan, Main, 1985",3-way,No,None,No,None,Community,No,15,15,24,12,,,,,,,1,15,1,2,0,22,2,10,13,,,,,,,,,,,,,,,,,,
Haifa Longitudinal Study,Sagi-Schwartz*^,2005,Israel,YES,Father,68,Unpublished data,English,13,17.5,SSP-AAI,Ainsworth et al. (1978),"George, Kaplan, Main, 1985",3-way,No,None,No,None,Community,No,21,15,25,7,,,,,,,6,21,0,0,0,22,3,7,9,,,,,,,,,,,,,,,,,,
Haifa Longitudinal Study,Sagi-Schwartz*^,2005,Israel,YES,Metaplet (kibbutz professional caregiver),67,Unpublished data,English,13.5,17.5,SSP-AAI,Ainsworth et al. (1978),"George, Kaplan, Main, 1985",3-way,No,None,No,None,Community,No,12,17,22,16,,,,,,,6,12,0,4,0,19,3,12,11,,,,,,,,,,,,,,,,,,
Lieden Study,Beijersbergen^,2012,Netherlands,NO,Mother,125,Article,English,12,14.4,SSP-AAI,Ainsworth et al. (1978),"George et al., 1996; Main, Goldwyn, & Hesse, 2003",2-way,No,None,Yes,Internationally adopted children,Risk,No,38,19,57,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lieden Study,Beijersbergen*^,2012,Netherlands,YES,Mother,125,Unpublished data,English,12,14.4,SSP-AAI,Ainsworth et al. (1978),"George et al., 1996; Main, Goldwyn, & Hesse, 2003",3-way,No,None,Yes,Internationally adopted children,Risk,No,,,,,,,,,,,10,38,2,11,6,41,16,0,1,,,,,,,,,,,,,,,,,,
Lieden Study,Beijersbergen*^,2012,Netherlands,YES,Mother,122,Unpublished data,English,12,14.4,SSP-AAI,Ainsworth et al. (1978),"George et al., 1996; Main, Goldwyn, & Hesse, 2003",4-way,No,None,Yes,Internationally adopted children,Risk,No,,,,,,84,2,16,20,,,,,,,,,,,,6,29,0,2,5,3,5,32,9,8,0,0,3,9,9,2,
London Parent-Child Project,Steele*^,2025,UK,YES,Mother,49,Unpublished data,English,12,16,SSP-AAI,"Ainsworth et al. (1978); Main & Solomon, (1990)","George, Kaplan, Main, 1985",4-way,No,None,No,None,Community,No,15,7,10,17,,44,0,0,5,,,,,,,,,,,,4,15,1,0,13,0,0,8,2,0,1,0,0,3,2,0,
London Parent-Child Project,Steele*^,2025,UK,YES,Father,48,Unpublished data,English,18,16,SSP-AAI,"Ainsworth et al. (1978); Main & Solomon, (1990)","George, Kaplan, Main, 1985",4-way,No,None,No,None,Community,No,20,5,12,11,,45,0,0,3,,,,,,,,,,,,2,20,0,0,9,2,0,11,1,0,0,0,0,2,1,0,
Minnesota Longitudinal Study of Risk and Adaptation,Roisman*^,2025,USA,YES,12mo w mother-19yr,158,Unpublished data,English,12,19,SSP-AAI,Ainsworth et al. (1978),"Main & Goldwyn, 1998","2-way, 3-way, 4-way",Yes,SES,Yes,SES,Risk,No,25,53,60,20,,107,4,18,26,,20,31,3,13,3,53,5,8,18,,8,25,2,4,10,0,5,44,3,11,6,9,2,4,22,0,
Minnesota Longitudinal Study of Risk and Adaptation,Roisman*^,2025,USA,YES,12mo w mother-26yr,156,Unpublished data,English,12,26,SSP-AAI,Ainsworth et al. (1978),"Main et al., 2003","2-way, 3-way, 4-way",Yes,SES,Yes,SES,Risk,No,42,42,43,29,,92,12,34,18,,12,45,6,16,7,35,12,10,13,,6,37,2,12,9,1,6,24,2,22,7,4,6,8,10,0,
Minnesota Longitudinal Study of Risk and Adaptation,Roisman*^,2025,USA,YES,18mo w mother-19yr,151,Unpublished data,English,18,19,SSP-AAI,Ainsworth et al. (1978),"Main et al., 2003","2-way, 3-way, 4-way",Yes,SES,Yes,SES,Risk,No,30,56,53,12,,104,5,17,21,,16,34,4,9,5,52,3,6,17,,6,30,3,5,5,2,7,43,1,7,3,11,3,4,17,0,
Minnesota Longitudinal Study of Risk and Adaptation,Roisman*^,2025,USA,YES,18mo w mother-26yr,151,Unpublished data,English,18,26,SSP-AAI,Ainsworth et al. (1978),"Main et al., 2003","2-way, 3-way, 4-way",Yes,SES,Yes,SES,Risk,No,48,44,37,22,,88,11,33,19,,10,50,5,14,10,36,8,6,12,,4,40,0,11,9,1,7,24,2,19,4,4,7,7,11,1,
NICHD SECCYD,Groh^,2014,USA,NO,15mo w mother-18yr,819,Chapter,English,15,18,SSP-AAI,Ainsworth et al. (1978),"George, Kaplan, Main, 1985",4-way,No,None,No,None,Community,No,304,137,193,185,,649,4,21,145,,48,347,5,79,4,201,23,70,42,,41,304,1,4,63,2,4,165,14,14,36,23,3,86,52,7,
NICHD SECCYD,Groh^,2014,USA,YES,24mo w mother-18yr*,821,Unpublished data,English,24,18,AQS-AAI,Waters & Deane (1985),"George, Kaplan, Main, 1985",2-way,No,None,No,None,Community,No,297,177,190,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NICHD SECCYD,Groh^,2014,USA,NO,36mo w mother-18yr,795,Chapter,English,36,18,SSP-AAI,Cassidy et al. (1992),"George, Kaplan, Main, 1985",4-way,No,None,No,None,Community,No,294,128,194,179,,650,9,15,121,,21,342,4,32,5,189,22,106,74,,11,294,2,9,23,3,1,169,14,11,80,54,3,76,41,4,
Regensburg Project,Grossmann*,2012,Germany,YES,Mother,39,Unpublished data,German,12,16,SSP-AAI,Ainsworth et al. (1978),"Kobak, 1993",2-way,No,None,No,None,Community,Pinquart,13,7,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regensburg Project,Grossmann*,2012,Germany,YES,Father^,38,Unpublished data,German,18,16,SSP-AAI,Ainsworth et al. (1978),"Kobak, 1993",2-way,No,None,No,None,Community,No,9,12,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional unnamed studies,Fearon*^,2025,,YES,,81,Unpublished data,English,18,21,SSP-AAI,Ainsworth et al. (1978),"Main & Goldwyn, 1998",4-way,Yes,Mental health,No,None,Risk,No,23,17,23,18,,77,0,1,3,,,,,,,,,,,,8,23,0,0,14,7,2,12,10,1,1,0,0,3,0,0,
Additional unnamed studies,Lewis,2000,USA,NO,Mother,84,Article,English,12,18,SSP-AAI,Ainsworth et al. (1978),"Kobak, 1993; Main & Goldwyn, 1998",2-way,No,None,No,None,Community,Pinquart,34,9,26,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional unnamed studies,Waters,2000,USA,NO,Mother,50,Article,English,12,20,SSP-AAI,Ainsworth et al. (1978),"Main & Goldwyn, 1998",3-way,No,None,No,None,Community,"Fraley, Pinquart, Vice",20,16,9,5,,,,,,,8,20,4,2,2,6,3,3,2,,,,,,,,,,,,,,,,,,
